subject,condition,post_theta_abs,post_alpha_abs,post_beta_abs,post_alpha_dB,post_theta_dB,post_theta_rel,post_alpha_rel,occ_alpha_abs,Cz_alpha_abs,Cz_theta_abs,alpha_theta_ratio,theta_beta_ratio,post_total_abs,total_abs_global,total_abs_cz
sub-01,rested,3.109770216786343,3.3845457805444688,3.6064399628424457,5.295003928913578,4.927282998729645,0.1347732519765368,0.1613760779683205,3.5541102831442974,2.2108691202613238,1.6804252641803932,1.0883587997193185,0.8622825414610122,10.100755960173258,20.076692404251478,9.973853386936556
sub-01,deprived,3.624778531012882,4.120868130384572,4.41930638100521,6.149887171301117,5.592814769215573,0.11219757340363731,0.13807960030863542,4.013032362775794,5.569203119662675,2.1272745440670806,1.1368606647626183,0.8202143545857516,12.164953042402665,35.55363907011804,14.723115315591862
sub-02,rested,6.865557389341633,27.688218918649387,5.3377885612508535,14.422950200763616,8.366758017750529,0.09030949491972592,0.34926171795742655,27.314211482450357,9.495512627337334,2.400781805142992,4.032916389517578,1.2862175619284484,39.891564869241876,67.02988773694256,30.3345888028571
sub-02,deprived,3.910658671825194,34.06665721898113,6.012230291298076,15.32329520636421,5.922499117302387,0.052574274049566945,0.44643297606288596,46.63309163840739,6.549889909103262,2.7600247444016803,8.711232576859345,0.6504505786289266,43.9895461821044,62.19917313810177,22.613729169599214
sub-03,rested,7.255409951351858,4.418486125106811,6.408770832518045,6.452734955637338,8.606619563437054,0.10035205900117142,0.06123918095395213,5.488445943921242,2.2378438164978545,5.3873909653929966,0.6089919321903431,1.1321063181941182,18.082666908976712,81.8920588240723,45.09570297889098
sub-03,deprived,8.76610874999537,7.19848440709469,6.232297400648588,8.572410682476612,9.428068540922887,0.1581057903833258,0.13692121961414594,7.352234504698533,4.679573924929605,15.269629017669155,0.8211721543037545,1.4065613667735257,22.196890557738648,54.90201044902473,62.57039321241669
sub-04,rested,3.1172558245769024,7.080784920032358,3.969164216146341,8.500814028231162,4.937724450881946,0.09825002560625601,0.20613289172015545,9.756312356568072,2.57985479479072,2.3919417008015667,2.2714802116035555,0.7853683180696021,14.167204960755601,39.073637490806114,13.941554863334575
sub-04,deprived,3.4783593720958423,7.9291453966803775,4.029180190342797,8.992263815790846,5.413744497930359,0.09008878203371404,0.18672210649892207,11.639683723460601,2.5376755164396707,1.9422757965375197,2.279564745462965,0.8632920861749568,15.436684959119017,59.35192874251423,13.637837142078515
sub-05,rested,3.070349216713927,7.117283007303582,5.337766375976891,8.523142351913517,4.871877742610855,0.08056005427492775,0.18692699856491793,7.874037558168316,1.862747535091374,1.5899983408732734,2.318069543542323,0.57521236420768,15.5253985999944,42.160269687377415,12.075819687676981
sub-05,deprived,2.848307705267953,4.383982773340788,4.4284147916634415,6.4186883893942035,4.545869047265202,0.09865534709023868,0.16116608793442672,4.090604600258186,1.712938993017384,1.7434005563479191,1.5391534998949026,0.6431890053817758,11.660705270272182,38.672215190615525,12.267037439113322
sub-06,rested,13.028734412325923,152.57406135164675,24.32373428153997,21.834807068209674,11.149022311816745,0.0609852999204534,0.6750193606652095,167.28417702458694,39.27468156194908,7.391370823128977,11.710581897141369,0.5356387412196749,189.92653004551264,120.93081194961938,66.39998027884867
sub-06,deprived,7.726508577148089,29.717819564553896,11.27956041399179,14.730169415010188,8.879832910440733,0.11156230550131667,0.4011314946464103,29.691665492923338,10.966912355928194,4.720839511337009,3.8462158254049283,0.6850008593919761,48.723888555693776,53.689609590735834,32.584158924411334
sub-07,rested,3.0662758422993472,20.211671366266497,4.413038364877316,13.056022281681452,4.866112214250291,0.055738182502845054,0.37610997937070434,15.884126381660417,9.883972159976894,1.989749121845524,6.591602453845155,0.6948219319150629,27.69098557344316,56.503481283961555,23.46037667360719
sub-07,deprived,6.987188825024499,19.139316430826355,7.688330004976217,12.819264226978008,8.44302479988005,0.09962065975099349,0.27902566800687845,19.459793569708726,8.51892172705622,3.341513680355508,2.7392012596366677,0.9088044894667751,33.814835260827074,68.34970901393375,24.5356215993012
sub-08,rested,4.849762366442101,2.109594887804725,2.792344258671932,3.241990643579564,6.857204591236471,0.10313146840065938,0.04643252823215552,2.1990669686450355,1.3346664976712446,2.1078322873927857,0.43498933110662347,1.7368067534583642,9.751701512918757,66.2254151050207,14.98506835830067
sub-08,deprived,4.344325485856291,2.2743963644010443,3.8423103510154277,3.568661524677239,6.3792235604115515,0.1255676423867067,0.06557012215090526,2.356539079031501,1.183671776241478,3.185201899856253,0.5235326799996313,1.1306544992411123,10.461032201272763,45.33116836469916,15.172557992311921
sub-09,rested,2.1531336960540868,2.6821891654953824,4.305101238372721,4.2848940387864545,3.330709976153205,0.07971745460150712,0.10177268661164657,2.767079509375508,1.8018595126234496,2.967756595417225,1.2457141748377552,0.5001354385960843,9.14042409992219,81.3037782134889,25.076198253199284
sub-09,deprived,6.530425156956295,8.06104138067782,7.069046346836948,9.063911505727425,8.149414565138823,0.08482945178476221,0.10783320528231889,7.195533825041965,3.454816332280049,5.032605034409123,1.2343823238049196,0.9238056785238564,21.660512884471064,86.21830373571534,27.852043561632225
sub-10,rested,2.688538074406153,3.9725954422209337,10.172848581702862,5.990743399969669,4.295161912269031,0.0798356325897678,0.09840083274002798,5.898722492357509,1.4006051353019928,2.297918689240198,1.4776043084673087,0.26428566716719093,16.833982098329948,35.212737537474325,15.492385090052718
